Date,Growth,Unemployment,Inflation,ExpGrowth,ExpUnempl,ExpInfl
1968.75,1.7330985006,3.4,5.6251413068,1.6987654321,3.799999997,3.2520325203
1969,6.2999089521,3.4,4.1737269241,2.3317359273,3.799999997,3.2
1969.25,1.1649630065,3.4,5.1544571933,2.9091783375,3.5999999978,3.1746031746
1969.5,2.5296108848,3.6,5.7162774486,1.8389678262,3.799999997,3.1007751938
1969.75,-1.8787197209,3.6,5.1718213058,0.2846840008,4.0999999978,3.0534351145
1970,-0.6274735176,4.2,5.6655782198,0.2938739781,4.3499999978,3.0303030303
1970.25,0.7251454288,4.8,5.5530002091,2.7498001599,4.799999997,2.9850746269
1970.5,3.5617100677,5.2,3.1509052666,2.1719779242,5.1999999993,2.962962963
1970.75,-4.2417649703,5.8,5.139536787,5.7465360883,5.6999999993,3.6509675067
1971,11.0302271054,5.9,6.043956044,4.5593091186,5.799999997,3.4582133951
1971.25,2.2691436687,5.9,5.2376024835,2.8546164801,5.799999997,3.9857650567
1971.5,3.1930285604,6.0,4.0227853074,5.6718743716,5.6999999993,3.6236932469
1971.75,1.111562813,5.9,3.220411497,6.2546685233,5.799999997,3.349616324
1972,7.1525075015,5.8,6.1887491319,6.387311071,5.6999999993,3.3310200926
1972.25,9.4862632071,5.7,2.3709107489,6.1837454506,5.5999999978,3.2831737023
1972.5,3.8334492294,5.6,3.8677998111,5.5305644795,5.3999999985,3.408316292
1972.75,6.5883657918,5.4,5.2672926565,5.7796442748,5.1999999993,4.0733197569
1973,10.2319593271,4.9,4.7262120149,5.4263438486,4.8999999985,3.4922767284
1973.25,4.6270067457,4.9,6.2037003248,3.8108750115,4.799999997,4.2356056234
1973.5,-2.1343399693,4.8,7.7907143884,1.5439865927,4.8999999985,4.8686740197
1973.75,3.8153716852,4.8,7.9238632358,-0.3055586047,5.0999999978,5.8412697202
1974,-3.5075814997,5.1,7.6869901839,-0.5342096556,5.5999999978,6.4596272403
1974.25,1.0241717999,5.2,9.5496473142,1.8566988532,5.5999999978,6.5178032306
1974.5,-3.9549514873,5.6,11.8309485957,1.191980238,5.6999999993,7.8592374528
1974.75,-1.5742517345,6.6,11.967186746,-1.7602446865,6.8999999985,8.7301587178
1975,-4.8652869152,8.3,9.2706543808,-0.4927764392,8.5,8.149779711
1975.25,3.0568523187,8.9,5.9590316574,4.2019115801,9.0999999978,5.8631921569
1975.5,6.7373707957,8.5,7.4477365017,5.8655858485,8.5,5.9989287886
1975.75,5.2251975144,8.3,7.0753602646,5.2926415013,8.0999999978,5.8124175012
1976,9.0930240367,7.7,4.3408873284,5.7434256033,7.6999999993,6.106870229
1976.25,3.0082271694,7.6,4.2598386773,5.5839121434,7.1999999993,5.7488652839
1976.5,1.9594229369,7.7,5.4305839582,5.3850624753,7.0999999978,5.7949480487
1976.75,2.9047281255,7.8,7.2297259429,5.658783921,7.5999999978,5.7289753608
1977,4.6431616776,7.5,6.7380473975,7.2453945269,7.5,5.3545585939
